"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","296","should trim entered text","chromium","Tue Mar 11 22:41:32 UTC 2025","passed","Tue Mar 11 22:41:32 UTC 2025","Editing","demo-todo-app.spec.js","",""
"","572","should allow me to display active items","firefox","Tue Mar 11 22:41:48 UTC 2025","passed","Tue Mar 11 22:41:49 UTC 2025","Routing","demo-todo-app.spec.js","",""
"","352","should save edits on blur","chromium","Tue Mar 11 22:41:32 UTC 2025","passed","Tue Mar 11 22:41:32 UTC 2025","Editing","demo-todo-app.spec.js","",""
"","652","should remove the item if an empty text string was entered","webkit","Tue Mar 11 22:42:04 UTC 2025","passed","Tue Mar 11 22:42:05 UTC 2025","Editing","demo-todo-app.spec.js","",""
"","342","complete all checkbox should update state when items are completed / cleared","chromium","Tue Mar 11 22:41:30 UTC 2025","passed","Tue Mar 11 22:41:31 UTC 2025","Mark all as completed","demo-todo-app.spec.js","",""
"","662","should be hidden when there are no items that are completed","webkit","Tue Mar 11 22:42:07 UTC 2025","passed","Tue Mar 11 22:42:08 UTC 2025","Clear completed button","demo-todo-app.spec.js","",""
"","447","should clear text input field when an item is added","webkit","Tue Mar 11 22:41:56 UTC 2025","passed","Tue Mar 11 22:41:56 UTC 2025","New Todo","demo-todo-app.spec.js","",""
"","204","should display the current number of todo items","chromium","Tue Mar 11 22:41:33 UTC 2025","passed","Tue Mar 11 22:41:33 UTC 2025","Counter","demo-todo-app.spec.js","",""
"","1199","get started link","webkit","Tue Mar 11 22:42:13 UTC 2025","passed","Tue Mar 11 22:42:14 UTC 2025","","example.spec.js","",""
"","377","should clear text input field when an item is added","firefox","Tue Mar 11 22:41:39 UTC 2025","passed","Tue Mar 11 22:41:39 UTC 2025","New Todo","demo-todo-app.spec.js","",""
"","681","should remove completed items when clicked","webkit","Tue Mar 11 22:42:07 UTC 2025","passed","Tue Mar 11 22:42:07 UTC 2025","Clear completed button","demo-todo-app.spec.js","",""
"","631","should trim entered text","webkit","Tue Mar 11 22:42:04 UTC 2025","passed","Tue Mar 11 22:42:04 UTC 2025","Editing","demo-todo-app.spec.js","",""
"","821","should respect the back button","webkit","Tue Mar 11 22:42:09 UTC 2025","passed","Tue Mar 11 22:42:10 UTC 2025","Routing","demo-todo-app.spec.js","",""
"","618","should display the correct text","webkit","Tue Mar 11 22:42:06 UTC 2025","passed","Tue Mar 11 22:42:07 UTC 2025","Clear completed button","demo-todo-app.spec.js","",""
"","275","should allow me to edit an item","chromium","Tue Mar 11 22:41:31 UTC 2025","passed","Tue Mar 11 22:41:31 UTC 2025","Item","demo-todo-app.spec.js","",""
"","504","should append new items to the bottom of the list","webkit","Tue Mar 11 22:41:56 UTC 2025","passed","Tue Mar 11 22:41:57 UTC 2025","New Todo","demo-todo-app.spec.js","",""
"","272","should persist its data","chromium","Tue Mar 11 22:41:34 UTC 2025","passed","Tue Mar 11 22:41:34 UTC 2025","Persistence","demo-todo-app.spec.js","",""
"","683","should allow me to edit an item","webkit","Tue Mar 11 22:42:02 UTC 2025","passed","Tue Mar 11 22:42:02 UTC 2025","Item","demo-todo-app.spec.js","",""
"","493","should allow me to mark items as complete","firefox","Tue Mar 11 22:41:41 UTC 2025","passed","Tue Mar 11 22:41:42 UTC 2025","Item","demo-todo-app.spec.js","",""
"","544","should be hidden when there are no items that are completed","firefox","Tue Mar 11 22:41:47 UTC 2025","passed","Tue Mar 11 22:41:48 UTC 2025","Clear completed button","demo-todo-app.spec.js","",""
"","604","should highlight the currently applied filter","webkit","Tue Mar 11 22:42:12 UTC 2025","passed","Tue Mar 11 22:42:12 UTC 2025","Routing","demo-todo-app.spec.js","",""
"","289","should allow me to display completed items","chromium","Tue Mar 11 22:41:35 UTC 2025","passed","Tue Mar 11 22:41:35 UTC 2025","Routing","demo-todo-app.spec.js","",""
"","974","should allow me to mark items as complete","webkit","Tue Mar 11 22:42:00 UTC 2025","passed","Tue Mar 11 22:42:01 UTC 2025","Item","demo-todo-app.spec.js","",""
"","743","should persist its data","firefox","Tue Mar 11 22:41:48 UTC 2025","passed","Tue Mar 11 22:41:48 UTC 2025","Persistence","demo-todo-app.spec.js","",""
"","684","should respect the back button","firefox","Tue Mar 11 22:41:49 UTC 2025","passed","Tue Mar 11 22:41:50 UTC 2025","Routing","demo-todo-app.spec.js","",""
"","441","should allow me to add todo items","chromium","Tue Mar 11 22:41:29 UTC 2025","passed","Tue Mar 11 22:41:29 UTC 2025","New Todo","demo-todo-app.spec.js","",""
"","517","should allow me to edit an item","firefox","Tue Mar 11 22:41:42 UTC 2025","passed","Tue Mar 11 22:41:43 UTC 2025","Item","demo-todo-app.spec.js","",""
"","556","should allow me to display completed items","firefox","Tue Mar 11 22:41:50 UTC 2025","passed","Tue Mar 11 22:41:50 UTC 2025","Routing","demo-todo-app.spec.js","",""
"","692","get started link","firefox","Tue Mar 11 22:41:52 UTC 2025","passed","Tue Mar 11 22:41:53 UTC 2025","","example.spec.js","",""
"","253","should hide other controls when editing","chromium","Tue Mar 11 22:41:31 UTC 2025","passed","Tue Mar 11 22:41:32 UTC 2025","Editing","demo-todo-app.spec.js","",""
"","261","should remove the item if an empty text string was entered","chromium","Tue Mar 11 22:41:32 UTC 2025","passed","Tue Mar 11 22:41:33 UTC 2025","Editing","demo-todo-app.spec.js","",""
"","623","complete all checkbox should update state when items are completed / cleared","firefox","Tue Mar 11 22:41:41 UTC 2025","passed","Tue Mar 11 22:41:41 UTC 2025","Mark all as completed","demo-todo-app.spec.js","",""
"","699","should hide other controls when editing","webkit","Tue Mar 11 22:42:02 UTC 2025","passed","Tue Mar 11 22:42:03 UTC 2025","Editing","demo-todo-app.spec.js","",""
"","821","should allow me to display all items","webkit","Tue Mar 11 22:42:11 UTC 2025","passed","Tue Mar 11 22:42:12 UTC 2025","Routing","demo-todo-app.spec.js","",""
"","524","should remove completed items when clicked","firefox","Tue Mar 11 22:41:47 UTC 2025","passed","Tue Mar 11 22:41:47 UTC 2025","Clear completed button","demo-todo-app.spec.js","",""
"","246","has title","chromium","Tue Mar 11 22:41:36 UTC 2025","passed","Tue Mar 11 22:41:36 UTC 2025","","example.spec.js","",""
"","762","should display the current number of todo items","firefox","Tue Mar 11 22:41:45 UTC 2025","passed","Tue Mar 11 22:41:46 UTC 2025","Counter","demo-todo-app.spec.js","",""
"","664","should allow me to display completed items","webkit","Tue Mar 11 22:42:10 UTC 2025","passed","Tue Mar 11 22:42:11 UTC 2025","Routing","demo-todo-app.spec.js","",""
"","682","should allow me to display active items","webkit","Tue Mar 11 22:42:09 UTC 2025","passed","Tue Mar 11 22:42:09 UTC 2025","Routing","demo-todo-app.spec.js","",""
"","266","should allow me to mark all items as completed","chromium","Tue Mar 11 22:41:30 UTC 2025","passed","Tue Mar 11 22:41:30 UTC 2025","Mark all as completed","demo-todo-app.spec.js","",""
"","762","should allow me to add todo items","webkit","Tue Mar 11 22:41:54 UTC 2025","passed","Tue Mar 11 22:41:55 UTC 2025","New Todo","demo-todo-app.spec.js","",""
"","263","should highlight the currently applied filter","chromium","Tue Mar 11 22:41:36 UTC 2025","passed","Tue Mar 11 22:41:36 UTC 2025","Routing","demo-todo-app.spec.js","",""
"","1792","should allow me to mark all items as completed","webkit","Tue Mar 11 22:41:57 UTC 2025","passed","Tue Mar 11 22:41:58 UTC 2025","Mark all as completed","demo-todo-app.spec.js","",""
"","1020","should allow me to display all items","firefox","Tue Mar 11 22:41:50 UTC 2025","passed","Tue Mar 11 22:41:51 UTC 2025","Routing","demo-todo-app.spec.js","",""
"","276","should allow me to mark items as complete","chromium","Tue Mar 11 22:41:31 UTC 2025","passed","Tue Mar 11 22:41:31 UTC 2025","Item","demo-todo-app.spec.js","",""
"","334","get started link","chromium","Tue Mar 11 22:41:36 UTC 2025","passed","Tue Mar 11 22:41:36 UTC 2025","","example.spec.js","",""
"","234","should append new items to the bottom of the list","chromium","Tue Mar 11 22:41:29 UTC 2025","passed","Tue Mar 11 22:41:30 UTC 2025","New Todo","demo-todo-app.spec.js","",""
"","655","should persist its data","webkit","Tue Mar 11 22:42:08 UTC 2025","passed","Tue Mar 11 22:42:09 UTC 2025","Persistence","demo-todo-app.spec.js","",""
"","403","has title","firefox","Tue Mar 11 22:41:52 UTC 2025","passed","Tue Mar 11 22:41:52 UTC 2025","","example.spec.js","",""
"","294","should be hidden when there are no items that are completed","chromium","Tue Mar 11 22:41:34 UTC 2025","passed","Tue Mar 11 22:41:34 UTC 2025","Clear completed button","demo-todo-app.spec.js","",""
"","306","should allow me to clear the complete state of all items","chromium","Tue Mar 11 22:41:30 UTC 2025","passed","Tue Mar 11 22:41:30 UTC 2025","Mark all as completed","demo-todo-app.spec.js","",""
"","472","should display the correct text","firefox","Tue Mar 11 22:41:46 UTC 2025","passed","Tue Mar 11 22:41:47 UTC 2025","Clear completed button","demo-todo-app.spec.js","",""
"","645","should allow me to un-mark items as complete","webkit","Tue Mar 11 22:42:01 UTC 2025","passed","Tue Mar 11 22:42:02 UTC 2025","Item","demo-todo-app.spec.js","",""
"","638","should save edits on blur","webkit","Tue Mar 11 22:42:03 UTC 2025","passed","Tue Mar 11 22:42:04 UTC 2025","Editing","demo-todo-app.spec.js","",""
